,phrase,label,sentiment,subjectivity,language,count
the K-AI Semiconductor Growth Forum,the K-AI Semiconductor Growth Forum,FAC,,,en,1.0
the last minute,the last minute,TIME,,,en,1.0
Kiwoom Center,Kiwoom Center,FAC,,,en,1.0
early in the morning,early in the morning,TIME,,,en,1.0
between 6 a.m. and 10 a.m.,between 6 a.m. and 10 a.m.,TIME,,,en,1.0
27 years,27 years,DATE,,,en,1.0
39,39,CARDINAL,,,en,1.0
the San Antonio Spurs,the San Antonio Spurs,FAC,,,en,1.0
only two,only two,CARDINAL,,,en,1.0
2025-26,2025-26,DATE,,,en,1.0
the Frost Bank Center,the Frost Bank Center,FAC,,,en,1.0
World Environment Day,World Environment Day,DATE,,,en,1.0
June 5th,June 5th,DATE,,,en,1.0
Piccadilly Square,Piccadilly Square,FAC,,,en,1.0
the 8th to the 7th of next month,the 8th to the 7th of next month,DATE,,,en,1.0
'Finding the Best Disaster Safety AI Prompt,'Finding the Best Disaster Safety AI Prompt,WORK_OF_ART,,,en,1.0
64.7%,64.7%,PERCENT,,,en,1.0
the Myeongni Village Hall,the Myeongni Village Hall,FAC,,,en,1.0
65%,65%,PERCENT,,,en,1.0
several months,several months,DATE,,,en,1.0
Ieodo Base,Ieodo Base,FAC,,,en,1.0
"3,551","3,551",CARDINAL,,,en,1.0
up to one year,up to one year,DATE,,,en,1.0
decades ago,decades ago,DATE,,,en,1.0
each year,each year,DATE,,,en,1.0
about 100 to,about 100 to,CARDINAL,,,en,1.0
one-year,one-year,DATE,,,en,1.0
"2,500","2,500",CARDINAL,,,en,1.0
1.7% to 2.6%,1.7% to 2.6%,PERCENT,,,en,1.0
Samchunix,Samchunix,NORP,,,en,1.0
"104,975","104,975",CARDINAL,,,en,1.0
3 last year,3 last year,DATE,,,en,1.0
215,215,CARDINAL,,,en,1.0
"April 2 to 4, 2023","April 2 to 4, 2023",DATE,,,en,1.0
32 degrees,32 degrees,QUANTITY,,,en,1.0
Pyeonghwa Market,Pyeonghwa Market,FAC,,,en,1.0
the summer of 2025,the summer of 2025,DATE,,,en,1.0
age 81,age 81,DATE,,,en,1.0
446,446,CARDINAL,,,en,1.0
fourth,fourth,ORDINAL,,,en,1.0
June 21 to September 20,June 21 to September 20,DATE,,,en,1.0
'Junma Solar Power Plant Project','Junma Solar Power Plant Project',PRODUCT,,,en,1.0
about 400km,about 400km,QUANTITY,,,en,1.0
Seoul International Garden Expo,Seoul International Garden Expo,EVENT,,,en,1.0
5 million,5 million,CARDINAL,,,en,1.0
10 million,10 million,CARDINAL,,,en,1.0
over 5 million,over 5 million,CARDINAL,,,en,1.0
just 48 days,just 48 days,DATE,,,en,1.0
hours,hours,TIME,,,en,1.0
October 27,October 27,DATE,,,en,1.0
approximately 5:54 pm on the 17th,approximately 5:54 pm on the 17th,TIME,,,en,1.0
around 5:54 p.m. on the 17th,around 5:54 p.m. on the 17th,TIME,,,en,1.0
the afternoon of the 26th of last month,the afternoon of the 26th of last month,TIME,,,en,1.0
May 27,May 27,DATE,,,en,1.0
Punching holes means communication,Punching holes means communication,WORK_OF_ART,,,en,1.0
Buddhist,Buddhist,NORP,,,en,1.0
"2,531","2,531",CARDINAL,,,en,1.0
2085,2085,CARDINAL,,,en,1.0
between the end of this year,between the end of this year,DATE,,,en,1.0
the beginning of next year,the beginning of next year,DATE,,,en,1.0
6200m,6200m,QUANTITY,,,en,1.0
Unitree G1,Unitree G1,PRODUCT,,,en,1.0
Pemba,Pemba,WORK_OF_ART,0.125,0.385,en,1.0
"6,200 meters","6,200 meters",QUANTITY,,,en,1.0
the 5th day,the 5th day,DATE,,,en,1.0
"March 11, 2011","March 11, 2011",DATE,,,en,1.0
Haneda Airport,Haneda Airport,FAC,,,en,1.0
a month later,a month later,DATE,,,en,1.0
his thirties,his thirties,DATE,,,en,1.0
over 40 years,over 40 years,DATE,,,en,1.0
2009,2009,DATE,,,en,1.0
2019,2019,DATE,,,en,1.0
May 30th,May 30th,DATE,,,en,1.0
2 cm,2 cm,QUANTITY,,,en,1.0
the afternoon of the 14th,the afternoon of the 14th,TIME,,,en,1.0
1 to 2 cm,1 to 2 cm,QUANTITY,,,en,1.0
about 1 cm,about 1 cm,QUANTITY,,,en,1.0
around 4 p.m.,around 4 p.m.,TIME,,,en,1.0
Inwolsa Temple,Inwolsa Temple,FAC,,,en,1.0
last March,last March,DATE,,,en,1.0
the temple hall,the temple hall,FAC,,,en,1.0
memorial hall,memorial hall,FAC,,,en,1.0
Indra Wall,Indra Wall,FAC,,,en,1.0
at least 160,at least 160,CARDINAL,,,en,1.0
